,Acinar,Alpha,Beta,Delta,Ductal,Endothelial,Gamma,MHCII,Mast,Pancreatic Stellate
MOSPD1,1.3188818505676801e-12,3.1089736949517745e-16,0.031124057268521185,0.16172105971374937,4.044566037101753e-23,0.12761610284507388,6.900167404425419e-06,0.9999510164979749,0.999670996610969,1.9426747359598436e-05
EPB41L4B,1.5919930628569626e-11,9.202406711255185e-21,2.2632917256589955e-08,0.32534030040999734,2.297404779998739e-28,0.000293034800542317,0.002299114320553631,0.475304203660137,0.08271954537161615,4.633854793204554e-12
BCL11B,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
PTPN21,0.0009115850163264691,0.9984213551874129,9.584371035285612e-06,0.011753260970224598,0.004234340438703604,0.7118888761135359,0.7405591592835394,0.9999510164979749,0.8449099180206585,0.0743023109656824
LINC00174,0.8231247228942703,0.9984213551874129,0.5738492466409075,1.0,0.93570943032729,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
FRMD4B,0.99875358821529,0.9984213551874129,1.6124529118685868e-09,0.0003429053159031557,5.246303498472679e-37,0.15128176866117274,7.523831592145334e-07,0.9999510164979749,0.5468723444977028,0.0003933205023760101
SCN10A,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
CNTN2,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
BAG3,4.15238231590287e-08,1.587891109760686e-28,0.006278748316403061,7.198786064429387e-07,8.452955153559099e-25,0.013217505515379327,0.044838546858492236,0.9999510164979749,0.30028416867755325,2.3076294785086485e-05
SLC25A20,0.013892157979110115,0.009253604836143712,2.9033567027060115e-07,0.009993900245554115,0.01765612207359648,0.9991874004493209,0.028136375394637606,0.9999510164979749,0.5388369100564425,0.998933473743147
ZNF367,0.7280931022800521,0.9984213551874129,0.8521944582748654,1.0,0.8454797854050855,0.9991874004493209,0.9876847621942129,0.9999510164979749,0.999670996610969,0.998933473743147
CABLES1,0.10772696763715736,0.0004351933197397139,0.17541429182083762,1.0,0.11006907346359826,0.19521257277395873,0.5307917048765856,0.9999510164979749,0.999670996610969,0.998933473743147
C1orf228,0.14581928048612383,0.12245099475356358,0.6739843663618488,0.7253660686423515,0.32158570205397025,0.9908259695050412,0.6355562548383755,0.9999510164979749,0.6330985801463307,0.8320587665382332
LINC01449,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
ASB9P1,0.99875358821529,0.02801139820121731,2.7943350958953116e-09,1.0,0.38236199254063014,0.9991874004493209,0.7557573983749593,0.9999510164979749,0.999670996610969,0.998933473743147
RITA1,0.015562951048853328,0.9984213551874129,0.04825662817412092,0.21838765494362128,9.069685552040384e-05,0.3619038253784364,0.02962935746288684,0.9999510164979749,0.23600018405277237,0.998933473743147
SCNN1B,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
GPR158,0.000732634748630038,1.2723272750104113e-06,0.07148637071969532,0.25411617219696964,2.785142730294099e-08,0.6507082614923682,0.9269856306626482,0.9999510164979749,0.999670996610969,0.083704965079051
POLR3G,0.3700333675526543,0.984463691578702,0.9624265736966214,1.0,0.3969251653282521,0.9991874004493209,0.7060114408170057,0.9999510164979749,0.999670996610969,0.998933473743147
APOC1P1,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
RBKS,0.00013478657020838866,7.92852660062298e-05,0.9477501338350017,0.2868148186043306,0.001990913582251524,0.9038666608100223,0.3459598957181693,0.9999510164979749,0.999670996610969,0.18237717803354964
LOC100507217,0.042159078264578737,5.522957732504623e-15,0.009267425610754542,1.0,1.6355327543021333e-18,0.9991874004493209,0.021738182594598206,0.9999510164979749,0.42178330383582224,0.5250593265785886
ADARB2-AS1,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
QSOX1,0.006417946694732687,0.9277530982980505,3.8206159985653823e-25,7.638354668379617e-13,2.6915641910966568e-95,0.08102068163480264,1.3118236531855094e-33,0.9999510164979749,0.007954602911897861,0.5695217947787525
NRL,0.99875358821529,0.5871646184896778,0.818085177077015,1.0,0.7190023521630262,0.9620794369247501,0.9999768616410615,0.9999510164979749,0.999670996610969,0.7585934507326344
SPDYE3,0.99875358821529,0.5768594915590247,0.999519512745119,0.9196053221826752,0.9890005475178577,0.9991874004493209,0.9546518636432851,0.9999510164979749,0.999670996610969,0.8941471355442272
MB21D1,0.0074834265447946266,0.08686195756323659,0.7983367858220104,1.0,0.9184760338608184,0.9620794369247501,0.8618437617509997,0.8696585917111362,0.999670996610969,0.07313642920994796
LRP8,0.49327629850912497,0.7859337255063754,0.6017534124744386,1.0,0.2681903758784414,0.9991874004493209,0.5163540883220821,0.9999510164979749,0.999670996610969,0.7500541028004702
SNHG16,2.4477453105626867e-06,1.4236609714220602e-09,8.731143269778964e-05,0.9404595172173392,3.740651555234556e-17,0.37970530800854496,0.037829876860302494,0.9999510164979749,0.5279357032992097,1.4982773946598373e-07
NUFIP2,0.673410140392422,0.412404738286303,2.0771370168572084e-09,1.0,0.06447857515968462,0.32361822708056226,0.02717728840880963,0.8039964097640254,0.21418555520803872,0.18663036964300397
SNORA77,0.8317402814059025,0.9984213551874129,0.9639940711901027,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LOC729506,0.99875358821529,0.9795973642407387,0.9004136900735288,1.0,0.9111944425712104,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
CHRM5,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
SPATA2L,0.7028974596869432,0.24828132678978382,0.13263854203637188,0.7790577414203324,0.08876864440585418,0.9991874004493209,0.004851350622362596,0.9999510164979749,0.938073992482133,0.44074602653779127
CD4,0.945821927550937,0.9556199084070554,0.999519512745119,1.0,0.5954466903488446,0.9991874004493209,0.9999768616410615,0.05704359707457396,0.999670996610969,0.0010947549759176961
SDHD,0.026612646998839317,2.5102137266641104e-08,0.8008530975318907,0.6828336722238453,1.8177967792897738e-28,0.531971597875146,0.03293378632065609,0.9999510164979749,0.999670996610969,0.018930967480651102
MMP14,7.421514122042268e-17,4.3367686193580404e-43,2.4908597393680835e-07,0.004276988107198654,2.411430098180565e-61,0.15468177803811978,7.173818831709301e-07,0.2093443345865247,0.8890710503521857,3.0301327107189985e-26
ANKRD18DP,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
LOC100499484,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
SH3RF1,2.152045412422487e-14,8.789824703473058e-14,1.2744582085628054e-43,4.1300820138448723e-13,2.359437447479424e-13,0.0032599937543749194,2.6606398072099296e-06,0.9602848526224863,0.04315933933683513,0.0030959235442146915
ZFX-AS1,0.99875358821529,0.9984213551874129,0.999519512745119,1.0,0.9989930693096231,0.9991874004493209,0.9999768616410615,0.9999510164979749,0.999670996610969,0.998933473743147
